                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 0.7797,                0.54156,                0.83307,                0.84062,                0.46131,                0.83121,                0.89891,                0.89774,                0.95772,                0.80334,                0.66485,                0.43554,                0.81744,                0.68265,                0.30884,                 0.8079,               0.005149,               0.005149,               0.005149
                    101,                0.78377,                0.53591,                0.83625,                0.83906,                0.47002,                 0.8349,                0.94256,                0.87772,                 0.9567,                0.79573,                0.68247,                 0.4438,                0.81482,                0.68309,                0.30336,                0.80255,              0.0050995,              0.0050995,              0.0050995
                    102,                0.78255,                0.53416,                0.83185,                0.84307,                0.47164,                0.82723,                0.96927,                0.87351,                0.96789,                0.80287,                0.65178,                0.43379,                  0.814,                0.66031,                0.29364,                0.80272,                0.00505,                0.00505,                0.00505
                    103,                0.77718,                0.54962,                0.83651,                0.82424,                0.47141,                 0.8341,                0.94326,                0.95403,                0.97874,                0.81678,                0.67728,                0.44735,                0.81512,                0.66725,                0.29087,                0.80233,              0.0050005,              0.0050005,              0.0050005
                    104,                0.79385,                0.55037,                0.83596,                0.85483,                0.50139,                0.83327,                0.93574,                0.92192,                 0.9689,                0.79531,                0.65216,                0.43847,                0.81127,                0.66604,                0.29657,                0.80062,               0.004951,               0.004951,               0.004951
                    105,                0.77819,                0.53184,                0.83053,                0.83056,                0.46776,                0.82629,                0.95191,                0.90266,                0.96666,                0.80137,                0.66096,                0.42903,                0.81346,                0.66979,                0.29205,                0.80231,              0.0049015,              0.0049015,              0.0049015
                    106,                0.77215,                0.52355,                0.82996,                0.82372,                0.45458,                0.82231,                 0.9458,                0.90195,                 0.9717,                0.79457,                0.67624,                0.44631,                0.81296,                0.69337,                0.29429,                0.80031,               0.004852,               0.004852,               0.004852
                    107,                0.79045,                0.53391,                 0.8276,                 0.8511,                0.48124,                 0.8221,                0.88357,                0.93105,                0.96656,                  0.787,                0.68066,                0.44245,                0.81554,                0.68286,                0.30525,                0.80413,              0.0048025,              0.0048025,              0.0048025
                    108,                 0.7621,                 0.5259,                0.82615,                0.83057,                0.45972,                0.82378,                0.91274,                0.96115,                0.97948,                 0.8185,                0.64593,                0.42683,                0.81208,                0.65006,                0.28206,                 0.7984,               0.004753,               0.004753,               0.004753
                    109,                0.76085,                0.50633,                0.83068,                0.82273,                0.45063,                0.82506,                0.92384,                0.95052,                0.97782,                0.80654,                0.64407,                0.42247,                0.81293,                0.66564,                 0.2869,                 0.8013,              0.0047035,              0.0047035,              0.0047035
                    110,                0.76172,                0.51807,                0.82229,                0.81924,                0.45276,                0.81982,                0.93577,                 0.9228,                0.96967,                0.81794,                0.64322,                0.41667,                0.81123,                0.65355,                0.28215,                0.80015,               0.004654,               0.004654,               0.004654
                    111,                0.75669,                0.50622,                0.82457,                0.81458,                0.43379,                0.82102,                0.93756,                0.95107,                0.98215,                0.81257,                0.67134,                0.43039,                0.81545,                0.67065,                0.28678,                0.80127,              0.0046045,              0.0046045,              0.0046045
                    112,                0.76982,                0.52055,                0.82931,                  0.831,                0.44124,                0.82682,                 0.9372,                0.92647,                0.97503,                0.81794,                0.64638,                0.41587,                0.81196,                0.65868,                0.28081,                0.79949,               0.004555,               0.004555,               0.004555
                    113,                0.77316,                0.52546,                0.82888,                0.82447,                0.46749,                0.82023,                0.93885,                0.90711,                0.97497,                0.81914,                 0.6639,                0.42023,                 0.8128,                0.66008,                0.28831,                0.79689,              0.0045055,              0.0045055,              0.0045055
                    114,                0.75855,                0.50794,                 0.8365,                0.83848,                0.45552,                0.83201,                0.90569,                 0.9428,                 0.9696,                0.81747,                0.65055,                0.41226,                 0.8115,                0.63943,                0.27982,                 0.7986,               0.004456,               0.004456,               0.004456
                    115,                0.75243,                0.51627,                 0.8293,                0.81047,                0.45949,                0.82855,                 0.9327,                 0.9475,                0.97491,                0.80752,                0.64857,                0.42511,                0.80873,                0.66196,                0.28518,                0.79842,              0.0044065,              0.0044065,              0.0044065
                    116,                0.76101,                0.51104,                0.82801,                0.81486,                0.44001,                0.82466,                0.93837,                0.91697,                0.97502,                0.82055,                0.63701,                0.41035,                0.80928,                0.63556,                0.27361,                0.79724,               0.004357,               0.004357,               0.004357
                    117,                0.73294,                0.50217,                0.82063,                0.77667,                0.42905,                0.81695,                0.94427,                0.90623,                0.97009,                0.80893,                0.66876,                0.42613,                0.80933,                 0.6766,                0.29189,                0.79672,              0.0043075,              0.0043075,              0.0043075
                    118,                 0.7424,                0.49938,                0.82212,                0.79351,                 0.4339,                0.82081,                0.87234,                0.97773,                0.97572,                 0.8206,                0.62968,                 0.4037,                0.80832,                 0.6426,                0.27052,                0.79663,               0.004258,               0.004258,               0.004258
                    119,                0.76114,                0.51124,                0.82971,                0.81441,                0.43258,                0.82574,                0.92927,                0.94571,                0.96922,                 0.8166,                0.64306,                0.42236,                0.80839,                0.64869,                0.29377,                0.79622,              0.0042085,              0.0042085,              0.0042085
                    120,                0.74854,                0.49926,                0.82653,                0.80371,                0.42245,                0.82285,                0.91117,                0.92312,                0.97261,                0.79893,                 0.6667,                0.42393,                0.81121,                0.66866,                 0.2815,                0.79851,               0.004159,               0.004159,               0.004159
                    121,                0.72713,                0.49049,                0.82459,                0.78716,                0.42428,                0.82114,                0.95841,                0.93986,                 0.9824,                0.81575,                0.64519,                0.41207,                0.80898,                0.66129,                0.27733,                0.79623,              0.0041095,              0.0041095,              0.0041095
                    122,                0.72833,                0.48022,                 0.8212,                0.78737,                0.40653,                0.81701,                0.95568,                0.93894,                0.98341,                0.83166,                0.62956,                0.39928,                0.80777,                0.62929,                0.26153,                0.79477,                0.00406,                0.00406,                0.00406
                    123,                0.74572,                0.49461,                0.82212,                0.79654,                0.41659,                0.81839,                0.93505,                0.94394,                 0.9734,                  0.816,                0.66701,                0.42279,                0.80995,                0.65681,                0.26822,                0.79734,              0.0040105,              0.0040105,              0.0040105
                    124,                0.72823,                 0.4856,                0.82265,                0.78128,                0.40744,                0.81628,                0.90361,                0.94952,                0.97839,                0.82315,                0.65283,                 0.4111,                0.81189,                0.65124,                0.27384,                0.79865,               0.003961,               0.003961,               0.003961
                    125,                0.72731,                0.48692,                0.82648,                0.78331,                0.42166,                0.81812,                0.94971,                0.95683,                0.98189,                0.82224,                0.64381,                 0.4044,                0.81036,                0.64045,                0.26591,                0.79741,              0.0039115,              0.0039115,              0.0039115
                    126,                0.71842,                0.48584,                 0.8141,                0.77019,                0.41944,                0.81134,                0.96594,                0.91327,                0.96675,                0.81345,                0.63221,                0.40741,                0.80516,                0.63836,                0.26373,                0.79246,               0.003862,               0.003862,               0.003862
                    127,                0.74198,                0.49497,                0.82667,                0.79794,                0.42526,                0.82299,                0.92147,                 0.9523,                0.97431,                0.82255,                 0.6324,                 0.3938,                0.80666,                0.64038,                  0.254,                0.79498,              0.0038125,              0.0038125,              0.0038125
                    128,                0.72471,                0.47958,                0.82268,                 0.7857,                0.41622,                0.82095,                0.93761,                0.94758,                0.98023,                0.82714,                0.62716,                0.40572,                0.80619,                0.63187,                0.26661,                0.79398,               0.003763,               0.003763,               0.003763
                    129,                0.70563,                0.49656,                0.82654,                0.75233,                0.42983,                0.81807,                0.94274,                0.95399,                0.98011,                0.82596,                0.63279,                0.39709,                0.80786,                0.62971,                0.26949,                0.79361,              0.0037135,              0.0037135,              0.0037135
                    130,                0.73268,                 0.4999,                0.82491,                0.78846,                0.43461,                0.82054,                0.91959,                0.96936,                0.97978,                0.82439,                0.65069,                0.40054,                  0.807,                0.64881,                0.27156,                0.79349,               0.003664,               0.003664,               0.003664
                    131,                 0.7254,                0.49472,                0.82475,                0.77274,                0.40719,                0.82269,                0.94601,                0.94304,                0.98005,                0.82143,                0.63717,                0.40733,                0.80921,                 0.6352,                0.27336,                0.79625,              0.0036145,              0.0036145,              0.0036145
                    132,                0.71026,                 0.4744,                0.81503,                0.75377,                0.40342,                0.81196,                0.96358,                0.95053,                0.97969,                0.82613,                0.63104,                0.39227,                0.80619,                0.63125,                0.25796,                 0.7929,               0.003565,               0.003565,               0.003565
                    133,                0.72429,                 0.4828,                0.82542,                0.77121,                0.40983,                0.82149,                0.95829,                0.91918,                0.97487,                0.83194,                0.62742,                0.39841,                0.80478,                0.63333,                0.26163,                0.79166,              0.0035155,              0.0035155,              0.0035155
                    134,                0.71762,                0.46766,                  0.822,                0.77274,                0.40373,                0.81792,                0.97478,                0.93558,                0.98105,                0.83469,                0.62668,                0.39987,                0.80545,                0.62593,                0.25476,                0.79135,               0.003466,               0.003466,               0.003466
                    135,                0.70048,                0.46662,                 0.8192,                0.75296,                0.40285,                0.81534,                0.96841,                 0.9363,                0.98389,                0.83942,                 0.6147,                0.38389,                0.80377,                 0.6138,                0.24528,                0.79132,              0.0034165,              0.0034165,              0.0034165
                    136,                0.71186,                0.47239,                0.82467,                0.76838,                0.40382,                0.82123,                0.96973,                0.93203,                0.98255,                0.83007,                0.62905,                0.38718,                0.80422,                  0.639,                0.25244,                0.79152,               0.003367,               0.003367,               0.003367
                    137,                0.72284,                0.48247,                0.82044,                0.77003,                0.40365,                0.81386,                0.96287,                0.96376,                0.98547,                0.83132,                0.63676,                0.39365,                0.80574,                0.63721,                0.25042,                0.79262,              0.0033175,              0.0033175,              0.0033175
                    138,                0.70508,                0.46992,                 0.8137,                0.77028,                0.40553,                0.80956,                0.97592,                0.92812,                0.98229,                0.82518,                0.62697,                0.38683,                0.80474,                0.63094,                0.24949,                0.79173,               0.003268,               0.003268,               0.003268
                    139,                0.70906,                0.47855,                0.81491,                0.76716,                0.39734,                0.81266,                0.98553,                0.91679,                0.97764,                0.82927,                0.63525,                0.39076,                0.80459,                0.62962,                0.24798,                  0.793,              0.0032185,              0.0032185,              0.0032185
                    140,                0.70332,                 0.4613,                0.82042,                0.75343,                0.39502,                0.81726,                0.95946,                0.95921,                 0.9824,                0.83326,                0.62034,                0.37812,                0.80405,                0.61582,                 0.2413,                0.79127,               0.003169,               0.003169,               0.003169
                    141,                0.70886,                0.47202,                0.82475,                 0.7712,                0.39562,                0.82296,                0.95786,                 0.9538,                0.98306,                0.83441,                0.61564,                0.38158,                0.80387,                0.62029,                0.24787,                0.79172,              0.0031195,              0.0031195,              0.0031195
                    142,                0.71461,                0.47778,                0.81794,                0.76243,                0.40976,                 0.8145,                0.95231,                0.96632,                 0.9817,                0.83201,                0.61947,                0.38531,                0.80585,                0.63389,                0.25528,                0.79275,                0.00307,                0.00307,                0.00307
                    143,                0.70678,                0.47197,                0.82215,                0.77356,                0.40651,                 0.8187,                0.96527,                0.95876,                0.98318,                0.84417,                0.62227,                0.38129,                0.80388,                0.61082,                0.24452,                0.78985,              0.0030205,              0.0030205,              0.0030205
                    144,                0.69511,                0.46062,                0.81699,                0.74782,                0.38529,                0.81101,                 0.9459,                 0.9508,                0.97853,                0.82757,                0.63497,                0.39153,                0.80303,                0.63441,                0.25243,                0.78995,               0.002971,               0.002971,               0.002971
                    145,                0.70067,                0.45014,                0.81956,                0.75479,                0.37626,                0.81391,                0.96472,                0.94047,                0.98102,                0.83556,                 0.6132,                0.38243,                0.80184,                0.61226,                0.24005,                0.78988,              0.0029215,              0.0029215,              0.0029215
                    146,                 0.7015,                0.44702,                0.81403,                0.75054,                  0.371,                 0.8098,                0.93944,                0.97041,                0.98039,                0.83432,                0.61145,                0.37474,                0.80349,                0.60402,                0.24086,                0.79038,               0.002872,               0.002872,               0.002872
                    147,                0.69032,                0.46523,                0.81317,                0.73619,                0.38273,                0.80841,                0.95433,                0.95105,                 0.9801,                0.83928,                0.62432,                0.38879,                0.80366,                0.61737,                0.24519,                0.79061,              0.0028225,              0.0028225,              0.0028225
                    148,                0.69052,                0.44301,                0.82131,                0.74222,                0.36309,                0.81548,                0.96158,                 0.9534,                0.98635,                0.83751,                0.61259,                 0.3809,                 0.8035,                0.61882,                0.23733,                0.79088,               0.002773,               0.002773,               0.002773
                    149,                0.69054,                0.47756,                0.81837,                0.74247,                0.40121,                0.81625,                0.97415,                0.96527,                0.98756,                0.84479,                0.61861,                0.37994,                0.80256,                0.62394,                0.24044,                0.79054,              0.0027235,              0.0027235,              0.0027235
                    150,                0.69676,                0.46516,                0.81264,                0.75355,                0.38364,                0.81079,                0.97933,                0.95548,                0.98616,                0.84159,                0.60883,                0.37914,                0.80176,                0.61223,                0.23844,                0.78901,               0.002674,               0.002674,               0.002674
                    151,                0.68407,                0.44609,                0.81461,                 0.7384,                0.36708,                0.80923,                 0.9761,                0.92932,                0.97943,                0.82192,                0.61904,                0.37067,                 0.8031,                0.63266,                0.23846,                0.79072,              0.0026245,              0.0026245,              0.0026245
                    152,                0.69028,                 0.4506,                 0.8139,                0.74191,                0.37645,                0.80764,                0.97301,                0.94773,                0.98439,                0.83883,                0.60865,                0.37182,                0.80085,                0.61371,                0.23009,                0.78725,               0.002575,               0.002575,               0.002575
                    153,                0.69962,                0.45289,                0.81738,                0.75251,                0.38113,                0.81298,                0.96186,                0.94207,                0.98088,                0.84068,                0.61207,                0.37274,                0.80302,                0.60897,                0.23422,                0.79041,              0.0025255,              0.0025255,              0.0025255
                    154,                0.68068,                0.45004,                0.81289,                0.73035,                0.38333,                0.80952,                0.95354,                0.92589,                0.97719,                0.84082,                0.61415,                0.37529,                 0.8015,                0.61408,                 0.2301,                0.78813,               0.002476,               0.002476,               0.002476
                    155,                0.67721,                0.44423,                0.81582,                0.72112,                0.36385,                0.81214,                0.96906,                 0.9498,                0.98525,                0.83999,                0.60773,                0.37101,                0.80172,                0.61587,                 0.2345,                0.78821,              0.0024265,              0.0024265,              0.0024265
                    156,                 0.6951,                0.45112,                0.81602,                0.73643,                0.37518,                0.81145,                0.96719,                0.96929,                0.98532,                0.84958,                0.60581,                0.36885,                 0.8025,                0.60518,                0.22799,                0.78869,               0.002377,               0.002377,               0.002377
                    157,                0.68715,                0.44556,                0.81224,                0.74442,                 0.3708,                0.80781,                0.95191,                0.96857,                0.98531,                0.85329,                0.60511,                0.36869,                0.80149,                0.59491,                0.23124,                0.78793,              0.0023275,              0.0023275,              0.0023275
                    158,                0.67635,                 0.4451,                0.81589,                0.71896,                0.36746,                0.81011,                0.98378,                0.92627,                0.98479,                0.85462,                0.61143,                0.37312,                0.80023,                0.60516,                0.23249,                0.78687,               0.002278,               0.002278,               0.002278
                    159,                0.67498,                0.46108,                0.81568,                0.72588,                 0.3946,                0.81207,                0.96599,                0.94091,                0.98349,                 0.8494,                0.60062,                0.36739,                0.79991,                0.60297,                0.23081,                0.78564,              0.0022285,              0.0022285,              0.0022285
                    160,                 0.6762,                0.43894,                0.81386,                0.72005,                0.36119,                0.80936,                0.93368,                0.97505,                0.98461,                0.84002,                 0.6061,                0.36315,                 0.8023,                0.60548,                0.23451,                0.78817,               0.002179,               0.002179,               0.002179
                    161,                0.68811,                0.44484,                0.81424,                0.73693,                0.37073,                 0.8112,                 0.9639,                0.95557,                0.98111,                0.83178,                0.60545,                0.36174,                 0.7994,                0.62282,                0.23366,                0.78655,              0.0021295,              0.0021295,              0.0021295
                    162,                0.67447,                0.44972,                0.82003,                0.72761,                0.37834,                0.81859,                0.93916,                 0.9748,                0.98111,                0.83161,                0.61057,                0.37342,                 0.8008,                0.62329,                0.24515,                0.78832,                0.00208,                0.00208,                0.00208
                    163,                0.67345,                0.43865,                0.80863,                0.72496,                0.36255,                0.80528,                0.98668,                0.94658,                0.98796,                0.84338,                0.60824,                0.36686,                0.79992,                0.61358,                0.23437,                0.78617,              0.0020305,              0.0020305,              0.0020305
                    164,                 0.6778,                0.44661,                0.81514,                0.72878,                0.37439,                0.81268,                0.95205,                0.96208,                0.98639,                0.83831,                0.61589,                 0.3654,                0.80042,                0.61876,                0.23517,                 0.7885,               0.001981,               0.001981,               0.001981
                    165,                0.65994,                0.43714,                0.81052,                0.70494,                 0.3625,                0.80969,                0.97274,                0.94568,                0.98407,                0.85114,                 0.6048,                0.37114,                 0.7993,                0.59498,                 0.2285,                0.78653,              0.0019315,              0.0019315,              0.0019315
                    166,                0.67747,                0.44204,                0.80842,                0.73108,                0.36775,                0.80621,                 0.9899,                0.91957,                0.98037,                0.84768,                0.60072,                0.35913,                0.79897,                0.59376,                0.22983,                0.78555,               0.001882,               0.001882,               0.001882
                    167,                0.67463,                0.44089,                0.81265,                0.72556,                0.36029,                0.80727,                0.94682,                0.95743,                0.98484,                0.85637,                0.59088,                0.35941,                0.79835,                0.58428,                0.23002,                0.78459,              0.0018325,              0.0018325,              0.0018325
                    168,                0.67884,                0.43923,                0.81788,                0.71984,                0.36377,                0.81233,                0.98324,                0.95254,                0.98739,                0.85093,                0.59281,                0.36514,                0.79834,                0.58853,                0.23124,                0.78437,               0.001783,               0.001783,               0.001783
                    169,                0.66898,                0.44796,                0.81208,                0.71804,                0.36427,                0.80834,                0.96373,                0.95998,                0.98957,                0.84998,                0.59273,                0.35593,                0.79962,                0.59028,                0.22988,                0.78631,              0.0017335,              0.0017335,              0.0017335
                    170,                0.67401,                0.43811,                 0.8093,                0.72269,                0.36266,                0.80761,                0.92878,                0.98352,                0.98867,                 0.8381,                0.61059,                0.36443,                0.79982,                0.61488,                0.23075,                 0.7868,               0.001684,               0.001684,               0.001684
                    171,                0.67654,                0.43504,                0.80704,                0.72566,                0.36018,                0.80602,                0.93839,                0.98459,                0.98924,                0.85424,                0.59768,                0.36023,                0.79735,                 0.5944,                0.22648,                0.78536,              0.0016345,              0.0016345,              0.0016345
                    172,                0.65992,                0.42829,                0.80652,                  0.706,                0.34888,                0.80017,                 0.9651,                 0.9584,                0.98945,                0.85489,                0.59457,                0.35485,                0.79767,                0.59471,                0.22684,                0.78411,               0.001585,               0.001585,               0.001585
                    173,                0.65028,                0.43772,                0.81067,                0.70278,                0.36714,                0.80725,                0.95503,                0.97437,                0.99039,                0.85578,                 0.6016,                 0.3567,                0.80004,                0.59823,                0.22234,                0.78616,              0.0015355,              0.0015355,              0.0015355
                    174,                0.66945,                0.43121,                0.80921,                 0.7225,                0.35197,                0.80433,                0.96935,                0.93894,                0.98645,                0.83809,                0.62016,                0.37099,                0.80073,                0.62145,                0.22773,                0.78699,               0.001486,               0.001486,               0.001486
                    175,                0.66609,                0.43137,                0.81153,                0.71306,                0.35564,                0.80884,                0.96335,                0.97132,                0.98561,                0.84746,                0.59751,                0.36176,                0.79954,                0.59716,                0.22704,                0.78614,              0.0014365,              0.0014365,              0.0014365
                    176,                0.65815,                0.42165,                 0.8131,                0.71199,                0.34937,                0.80915,                0.94121,                0.96229,                0.98376,                0.84736,                0.60016,                0.36156,                0.79721,                0.60184,                0.22444,                0.78503,               0.001387,               0.001387,               0.001387
                    177,                 0.6599,                0.42329,                0.81145,                0.69766,                0.34381,                0.80387,                0.96605,                0.96854,                0.99096,                0.85222,                0.59614,                0.35439,                0.79858,                0.59748,                0.22142,                0.78482,              0.0013375,              0.0013375,              0.0013375
                    178,                0.65778,                0.42082,                0.81077,                0.69897,                 0.3388,                0.80509,                0.97526,                0.95932,                0.98541,                0.84523,                0.59876,                0.35625,                0.79785,                0.59495,                0.21416,                0.78509,               0.001288,               0.001288,               0.001288
                    179,                0.64975,                0.42517,                0.80751,                0.69941,                 0.3552,                0.80183,                 0.9705,                0.96398,                0.99111,                0.86207,                0.59273,                0.35489,                 0.7979,                0.58447,                0.22241,                 0.7841,              0.0012385,              0.0012385,              0.0012385
                    180,                0.65068,                 0.4404,                0.81236,                0.69329,                0.36317,                0.80768,                0.98017,                0.94767,                0.98458,                0.85697,                0.59501,                0.35859,                0.79764,                0.59415,                0.21953,                0.78426,               0.001189,               0.001189,               0.001189
                    181,                 0.6662,                 0.4374,                0.81038,                 0.7135,                0.35969,                 0.8059,                 0.9771,                0.97149,                0.99153,                0.86269,                0.59277,                0.35029,                0.79844,                0.58937,                0.22321,                0.78454,              0.0011395,              0.0011395,              0.0011395
                    182,                0.62506,                 0.4249,                0.80952,                0.67169,                0.34026,                0.80615,                0.96307,                0.96306,                0.99127,                0.85552,                 0.5908,                0.34662,                0.79791,                0.59088,                0.21658,                0.78429,                0.00109,                0.00109,                0.00109
                    183,                0.66582,                   0.43,                0.81295,                0.71052,                0.36279,                0.80599,                0.94588,                0.96535,                0.98942,                 0.8609,                0.59249,                 0.3539,                0.79683,                0.58782,                0.22776,                0.78291,              0.0010405,              0.0010405,              0.0010405
                    184,                0.65862,                 0.4156,                0.80301,                0.70502,                0.34334,                0.79929,                0.95661,                0.95385,                0.99018,                0.85837,                0.58754,                0.34841,                0.79773,                0.58822,                0.22489,                0.78435,               0.000991,               0.000991,               0.000991
                    185,                0.65181,                0.42377,                0.80994,                0.69082,                0.33472,                0.80656,                0.94884,                0.97925,                0.99007,                0.85929,                0.59379,                0.35241,                0.79645,                0.58788,                0.22897,                0.78254,              0.0009415,              0.0009415,              0.0009415
                    186,                0.64815,                0.41876,                0.81155,                0.69396,                0.34422,                0.80823,                0.96878,                0.96572,                0.99155,                0.85587,                0.58967,                0.34518,                0.79676,                0.58634,                0.22103,                0.78294,               0.000892,               0.000892,               0.000892
                    187,                0.65678,                0.43062,                0.80932,                0.70333,                0.35296,                 0.8043,                0.97739,                0.94607,                 0.9904,                 0.8572,                0.59531,                0.34575,                0.79691,                0.58634,                0.21658,                0.78333,              0.0008425,              0.0008425,              0.0008425
                    188,                0.65176,                0.42315,                0.81278,                0.69227,                0.34816,                 0.8051,                0.98038,                0.96428,                0.99052,                0.85303,                0.58862,                0.34558,                0.79723,                0.58602,                0.21677,                 0.7831,               0.000793,               0.000793,               0.000793
                    189,                 0.6567,                0.41981,                 0.8145,                0.70046,                0.34506,                0.81234,                0.96821,                0.95942,                0.99086,                0.85589,                0.58456,                 0.3471,                0.79685,                0.57857,                 0.2209,                0.78335,              0.0007435,              0.0007435,              0.0007435
                    190,                0.65656,                0.42881,                0.80288,                0.70427,                0.36418,                0.79763,                0.96921,                0.96421,                0.99022,                0.85241,                0.58931,                0.34446,                0.79726,                0.58274,                0.21624,                0.78384,               0.000694,               0.000694,               0.000694
                    191,                0.62203,                0.40833,                0.81284,                0.65664,                0.29866,                0.80338,                0.94727,                0.98246,                0.99104,                0.84686,                0.59921,                0.35717,                0.79703,                0.59825,                0.22363,                0.78362,              0.0006445,              0.0006445,              0.0006445
                    192,                0.62578,                0.41062,                0.81108,                0.64493,                0.29721,                0.79816,                0.97741,                0.96185,                0.99068,                0.84586,                 0.6049,                0.36221,                0.79789,                0.60012,                0.22275,                0.78405,               0.000595,               0.000595,               0.000595
                    193,                0.62366,                0.40446,                0.80294,                0.65408,                0.29332,                 0.7957,                0.96629,                0.95231,                 0.9885,                0.85032,                0.60408,                0.35361,                0.79765,                 0.6003,                0.21932,                0.78458,              0.0005455,              0.0005455,              0.0005455
                    194,                0.62302,                0.40001,                0.81271,                0.64698,                 0.2951,                0.80093,                0.95917,                0.94634,                0.98806,                0.84821,                0.59887,                0.35216,                0.79771,                0.59647,                0.22345,                0.78463,               0.000496,               0.000496,               0.000496
                    195,                0.60771,                 0.3973,                0.80702,                 0.6342,                0.28783,                0.79673,                0.95273,                0.95533,                0.98904,                0.85709,                 0.5916,                0.35005,                 0.7971,                 0.5881,                0.21997,                0.78285,              0.0004465,              0.0004465,              0.0004465
                    196,                0.61473,                0.39713,                0.81005,                 0.6376,                0.28302,                0.80062,                0.97946,                0.95172,                0.99002,                0.86094,                0.58699,                0.34898,                0.79664,                0.58311,                0.22141,                0.78312,               0.000397,               0.000397,               0.000397
                    197,                0.60846,                 0.3983,                0.80137,                0.63871,                0.28998,                0.79165,                 0.9677,                0.95771,                 0.9907,                 0.8527,                0.59184,                 0.3481,                0.79688,                0.59233,                0.22588,                0.78314,              0.0003475,              0.0003475,              0.0003475
                    198,                0.61083,                0.38598,                 0.8049,                0.63262,                0.28274,                0.79496,                0.97921,                0.95687,                0.98967,                 0.8457,                0.59366,                0.34932,                0.79668,                0.59789,                 0.2255,                 0.7837,               0.000298,               0.000298,               0.000298
                    199,                0.61408,                 0.3973,                0.79823,                0.63474,                0.27882,                 0.7895,                0.97132,                0.95949,                 0.9883,                0.84775,                0.59435,                0.34755,                0.79721,                0.59402,                0.22456,                0.78368,              0.0002485,              0.0002485,              0.0002485
                    200,                0.61517,                0.39524,                0.80724,                0.63516,                0.28699,                0.79716,                0.97223,                0.96157,                0.98926,                0.85792,                0.58584,                0.34615,                0.79671,                0.58548,                0.22075,                0.78293,               0.000199,               0.000199,               0.000199
